device,forecast_length,num_scenarios,mean,median,p95,std_dev,total,requests_per_minute,success
GPU,2,1,0.08660345974688728,0.086073724552989,0.0876394887920469,0.0008578054081410503,0.25981037924066186,692.8130,True
GPU,2,2,0.08948231286679705,0.08908229600638151,0.0913477270398289,0.0015906728909848649,0.26844693860039115,670.5236,True
GPU,2,4,0.08765600963185231,0.08782607084140182,0.08783503947779536,0.00024758272207176007,0.2629680288955569,684.4939,True
GPU,10,1,0.08533046037579577,0.08536325115710497,0.08592180986888706,0.0005473863924526334,0.2559913811273873,703.1487,True
GPU,10,2,0.08727792076145609,0.08731016935780644,0.08760234573855996,0.0003054165615141476,0.2618337622843683,687.4591,True
GPU,10,4,0.08733876561746001,0.086943952832371,0.08808530694805086,0.0006185030539342088,0.26201629685238004,686.9802,True
GPU,100,1,0.0858600406597058,0.08581964205950499,0.08666165410540998,0.0007149817504899354,0.2575801219791174,698.8117,True
GPU,100,2,0.08769163644562165,0.08723248913884163,0.08848599018529058,0.0006602069507142822,0.26307490933686495,684.2158,True
GPU,100,4,0.09095278599609931,0.09064511582255363,0.09212623708881437,0.0009910566415473662,0.27285835798829794,659.6829,True
CPU,2,1,0.13000670804952583,0.13028388610109687,0.13040987616404892,0.0004942910923525297,0.39002012414857745,461.5146,True
CPU,2,2,0.12751039831588665,0.1270927549339831,0.128346110554412,0.0006917652862317201,0.38253119494765997,470.5499,True
CPU,2,4,0.13567271487166485,0.13531119981780648,0.13660366288386286,0.0007732588218778033,0.4070181446149945,442.2407,True
CPU,10,1,0.12964658283938965,0.12980199605226517,0.13053204473108054,0.0008597077599840812,0.3889397485181689,462.7966,True
CPU,10,2,0.127549904709061,0.12785499496385455,0.12814102321863174,0.0006688917721433795,0.38264971412718296,470.4041,True
CPU,10,4,0.13524136552587152,0.13526093028485775,0.1356362534686923,0.000364724415761075,0.40572409657761455,443.6512,True
CPU,100,1,0.13997394467393556,0.140189821831882,0.14064937098883093,0.0006981971125469495,0.4199218340218067,428.6512,True
CPU,100,2,0.1602915346932908,0.1606726930476725,0.1609063473995775,0.0007303468919817944,0.48087460407987237,374.3180,True
CPU,100,4,0.21330700224886337,0.21933809202164412,0.2197758373338729,0.008875395636076358,0.6399210067465901,281.2847,True
